23
0	544	912	677	680	564	744	1030	765	876	1043	771	838	829	943	779	891	835	531	562	669	996	555	
544	0	979	893	915	810	1049	792	1022	900	776	631	789	883	759	697	894	936	804	963	674	603	648	
912	979	0	709	734	998	843	591	940	632	884	796	642	536	644	584	887	1042	964	1055	925	1040	855	
677	893	709	0	780	693	933	753	623	746	770	820	663	672	756	1026	705	556	570	1023	761	845	837	
680	915	734	780	0	607	994	737	597	727	740	754	842	885	1038	605	976	985	818	543	1015	859	1037	
564	810	998	693	607	0	730	949	618	646	587	1017	733	851	760	715	738	793	609	1051	653	723	538	
744	1049	843	933	994	730	0	611	868	1007	565	689	815	932	906	685	866	1008	1013	1019	750	639	923	
1030	792	591	753	737	949	611	0	935	831	1047	970	581	916	1020	867	732	974	553	1006	647	707	722	
765	1022	940	623	597	618	868	935	0	622	566	892	624	1029	670	535	636	682	755	708	962	814	822	
876	900	632	746	727	646	1007	831	622	0	1035	592	966	658	585	950	847	861	825	529	595	783	880	
1043	776	884	770	740	587	565	1047	566	1035	0	846	958	786	886	805	745	634	547	942	785	873	807	
771	631	796	820	754	1017	689	970	892	592	846	0	602	540	1009	676	989	999	874	872	578	839	606	
838	789	642	663	842	733	815	581	624	966	958	602	0	588	1028	781	830	554	920	731	816	741	686	
829	883	536	672	885	851	932	916	1029	658	786	540	588	0	580	890	1048	993	797	992	840	799	1018	
943	759	644	756	1038	760	906	1020	670	585	886	1009	1028	580	0	684	853	969	575	712	598	813	844	
779	697	584	1026	605	715	685	867	535	950	805	676	781	890	684	0	541	695	860	896	1054	641	572	
891	894	887	705	976	738	866	732	636	847	745	989	830	1048	853	541	0	802	971	858	901	869	626	
835	936	1042	556	985	793	1008	974	682	861	634	999	554	993	969	695	802	0	957	878	975	698	888	
531	804	964	570	818	609	1013	553	755	825	547	874	920	797	575	860	971	957	0	533	922	1050	1036	
562	963	1055	1023	543	1051	1019	1006	708	529	942	872	731	992	712	896	858	878	533	0	758	633	914	
669	674	925	761	1015	653	750	647	962	595	785	578	816	840	598	1054	901	975	922	758	0	865	1041	
996	603	1040	845	859	723	639	707	814	783	873	839	741	799	813	641	869	698	1050	633	865	0	784	
555	648	855	837	1037	538	923	722	822	880	807	606	686	1018	844	572	626	888	1036	914	1041	784	0	
